Head,Relation,Tail,Title,Article,Paragraph_Coreferenced,Sentence_Coreferenced,Article_Content
financial management,facet of,transparency,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 6  Respect for budgetary principles,"the budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this regulation. chapter 1 principles of unity and of budgetary accuracy","the budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this regulation","The budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this Regulation. CHAPTER 1 Principles of unity and of budgetary accuracy"
financial management,has part,transparency,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 6  Respect for budgetary principles,"the budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this regulation. chapter 1 principles of unity and of budgetary accuracy","the budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this regulation","The budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this Regulation. CHAPTER 1 Principles of unity and of budgetary accuracy"
financial management,subclass of,transparency,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 6  Respect for budgetary principles,"the budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this regulation. chapter 1 principles of unity and of budgetary accuracy","the budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this regulation","The budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this Regulation. CHAPTER 1 Principles of unity and of budgetary accuracy"
chapter 1,main subject,unity,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 6  Respect for budgetary principles,"the budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this regulation. chapter 1 principles of unity and of budgetary accuracy",chapter 1 principles of unity and of budgetary accuracy,"The budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this Regulation. CHAPTER 1 Principles of unity and of budgetary accuracy"
chapter 1,main subject,budget,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 6  Respect for budgetary principles,"the budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this regulation. chapter 1 principles of unity and of budgetary accuracy",chapter 1 principles of unity and of budgetary accuracy,"The budget shall be established and implemented in accordance with the principles of unity, budgetary accuracy, annuality, equilibrium, unit of account, universality, specification, sound financial management and transparency as set out in this Regulation. CHAPTER 1 Principles of unity and of budgetary accuracy"
revenue,has part,expenditure,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,"for each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the union. it shall comprise: (a) the revenue and expenditure of the union, including administrative expenditure resulting from the implementation of the provisions of the teu relating to the common foreign and security policy (cfsp), and operational expenditure occasioned by implementation of those provisions where the common foreign and security policy (cfsp) is charged to the budget; (b) the revenue and expenditure of the european atomic energy community.","for each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the union","For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
budget,has part,revenue,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,"for each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the union. it shall comprise: (a) the revenue and expenditure of the union, including administrative expenditure resulting from the implementation of the provisions of the teu relating to the common foreign and security policy (cfsp), and operational expenditure occasioned by implementation of those provisions where the common foreign and security policy (cfsp) is charged to the budget; (b) the revenue and expenditure of the european atomic energy community.","for each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the union","For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
teu,country,union,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,"for each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the union. it shall comprise: (a) the revenue and expenditure of the union, including administrative expenditure resulting from the implementation of the provisions of the teu relating to the common foreign and security policy (cfsp), and operational expenditure occasioned by implementation of those provisions where the common foreign and security policy (cfsp) is charged to the budget; (b) the revenue and expenditure of the european atomic energy community.","it shall comprise: (a) the revenue and expenditure of the union, including administrative expenditure resulting from the implementation of the provisions of the teu relating to the common foreign and security policy (cfsp), and operational expenditure occasioned by implementation of those provisions where the common foreign and security policy (cfsp) is charged to the budget; (b) the revenue and expenditure of the european atomic energy community","For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
teu,applies to jurisdiction,union,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,"for each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the union. it shall comprise: (a) the revenue and expenditure of the union, including administrative expenditure resulting from the implementation of the provisions of the teu relating to the common foreign and security policy (cfsp), and operational expenditure occasioned by implementation of those provisions where the common foreign and security policy (cfsp) is charged to the budget; (b) the revenue and expenditure of the european atomic energy community.","it shall comprise: (a) the revenue and expenditure of the union, including administrative expenditure resulting from the implementation of the provisions of the teu relating to the common foreign and security policy (cfsp), and operational expenditure occasioned by implementation of those provisions where the common foreign and security policy (cfsp) is charged to the budget; (b) the revenue and expenditure of the european atomic energy community","For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
european atomic energy community,country,union,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,"for each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the union. it shall comprise: (a) the revenue and expenditure of the union, including administrative expenditure resulting from the implementation of the provisions of the teu relating to the common foreign and security policy (cfsp), and operational expenditure occasioned by implementation of those provisions where the common foreign and security policy (cfsp) is charged to the budget; (b) the revenue and expenditure of the european atomic energy community.","it shall comprise: (a) the revenue and expenditure of the union, including administrative expenditure resulting from the implementation of the provisions of the teu relating to the common foreign and security policy (cfsp), and operational expenditure occasioned by implementation of those provisions where the common foreign and security policy (cfsp) is charged to the budget; (b) the revenue and expenditure of the european atomic energy community","For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
