Head,Relation,Tail,Title,Article,Paragraph_Coreferenced,Sentence_Coreferenced,Article_Content
financial framework partnership agreement,subclass of,framework contract,TITLE V COMMON RULES,Article 124  Scope,"with the exception of article 138, references in this title to legal commitments shall be construed as references to legal commitments, framework contracts and financial framework partnership agreements.","with the exception of article 138, references in this title to legal commitments shall be construed as references to legal commitments, framework contracts and financial framework partnership agreements","With the exception of Article 138, references in this Title to legal commitments shall be construed as references to legal commitments, framework contracts and financial framework partnership agreements."
financial framework,subclass of,framework contract,TITLE V COMMON RULES,Article 124  Scope,"with the exception of article 138, references in this title to legal commitments shall be construed as references to legal commitments, framework contracts and financial framework partnership agreements.","with the exception of article 138, references in this title to legal commitments shall be construed as references to legal commitments, framework contracts and financial framework partnership agreements","With the exception of Article 138, references in this Title to legal commitments shall be construed as references to legal commitments, framework contracts and financial framework partnership agreements."
direct share,part of,union,TITLE V COMMON RULES,Article 125  Forms of Union contribution,"union contributions under direct, shared and indirect management shall help achieve a union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;    (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with article 181, sector-specific rules or a commission decision and, in shared management, in accordance with sector-specific rules. union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph this paragraph shall, in direct and indirect management, be established in accordance with article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules.","union contributions under direct, shared and indirect management shall help achieve a union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;    (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e)","Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
union policy,facet of,union,TITLE V COMMON RULES,Article 125  Forms of Union contribution,"union contributions under direct, shared and indirect management shall help achieve a union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;    (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with article 181, sector-specific rules or a commission decision and, in shared management, in accordance with sector-specific rules. union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph this paragraph shall, in direct and indirect management, be established in accordance with article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules.","union contributions under direct, shared and indirect management shall help achieve a union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;    (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e)","Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
union policy objective,facet of,union,TITLE V COMMON RULES,Article 125  Forms of Union contribution,"union contributions under direct, shared and indirect management shall help achieve a union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;    (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with article 181, sector-specific rules or a commission decision and, in shared management, in accordance with sector-specific rules. union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph this paragraph shall, in direct and indirect management, be established in accordance with article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules.","union contributions under direct, shared and indirect management shall help achieve a union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;    (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e)","Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
direct,opposite of,indirect management,TITLE V COMMON RULES,Article 125  Forms of Union contribution,"union contributions under direct, shared and indirect management shall help achieve a union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;    (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with article 181, sector-specific rules or a commission decision and, in shared management, in accordance with sector-specific rules. union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph this paragraph shall, in direct and indirect management, be established in accordance with article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules.","union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with article 181, sector-specific rules or a commission decision and, in shared management, in accordance with sector-specific rules","Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
direct,subclass of,indirect management,TITLE V COMMON RULES,Article 125  Forms of Union contribution,"union contributions under direct, shared and indirect management shall help achieve a union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;    (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with article 181, sector-specific rules or a commission decision and, in shared management, in accordance with sector-specific rules. union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph this paragraph shall, in direct and indirect management, be established in accordance with article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules.","union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with article 181, sector-specific rules or a commission decision and, in shared management, in accordance with sector-specific rules","Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
point,part of,union,TITLE V COMMON RULES,Article 125  Forms of Union contribution,"union contributions under direct, shared and indirect management shall help achieve a union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;    (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with article 181, sector-specific rules or a commission decision and, in shared management, in accordance with sector-specific rules. union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph this paragraph shall, in direct and indirect management, be established in accordance with article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules.","union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph this paragraph shall, in direct and indirect management, be established in accordance with article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules","Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
point,subclass of,union contribution,TITLE V COMMON RULES,Article 125  Forms of Union contribution,"union contributions under direct, shared and indirect management shall help achieve a union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;    (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with article 181, sector-specific rules or a commission decision and, in shared management, in accordance with sector-specific rules. union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph this paragraph shall, in direct and indirect management, be established in accordance with article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules.","union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph this paragraph shall, in direct and indirect management, be established in accordance with article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules","Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
union contribution point,part of,sectorspecific rule,TITLE V COMMON RULES,Article 125  Forms of Union contribution,"union contributions under direct, shared and indirect management shall help achieve a union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;    (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with article 181, sector-specific rules or a commission decision and, in shared management, in accordance with sector-specific rules. union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph this paragraph shall, in direct and indirect management, be established in accordance with article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules.","union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph this paragraph shall, in direct and indirect management, be established in accordance with article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules","Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
