Head,Relation,Tail,Title,Article,Paragraph_Coreferenced,Sentence_Coreferenced,Article_Content
nondiscrimination,has part,equal treatment,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope,"all contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination.","all contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination","All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
nondiscrimination,subclass of,equal treatment,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope,"all contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination.","all contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination","All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
equal treatment,subclass of,nondiscrimination,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope,"all contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination.","all contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination","All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
competition,subclass of,contract,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope,"all contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of article 164(1). the estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. the contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition.","all contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of article 164(1)","All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
estimate value,facet of,contract,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope,"all contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of article 164(1). the estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. the contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition.","the estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose","All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
estimate value,part of,contract,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope,"all contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of article 164(1). the estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. the contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition.","the estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose","All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
estimate value,subclass of,contract,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope,"all contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of article 164(1). the estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. the contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition.","the estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose","All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
lot,part of,contract,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope,"all contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of article 164(1). the estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. the contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition.","the contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition","All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
contract,participant,contracting authority,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope,"all contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of article 164(1). the estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. the contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition.","the contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition","All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
framework contract,subclass of,contract,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope,"contracting authorities shall not use framework contracts improperly or in such a way that contracting authorities purpose or effect is to prevent, restrict or distort competition.","contracting authorities shall not use framework contracts improperly or in such a way that contracting authorities purpose or effect is to prevent, restrict or distort competition","All contracts financed in whole or in part by the budget shall respect the principles of transparency, proportionality, equal treatment and non-discrimination. All contracts shall be put out to competition on the broadest possible basis, except when use is made of the procedure referred to in point (d) of Article 164(1). The estimated value of a contract shall not be determined with a view to circumventing the applicable rules, nor shall a contract be split up for that purpose. The contracting authority shall divide a contract into lots, whenever appropriate, with due regard to broad competition. Contracting authorities shall not use framework contracts improperly or in such a way that their purpose or effect is to prevent, restrict or distort competition. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in procurement procedures financed in whole or in part from the budget. The rules on procurement laid down in this Regulation shall not apply to the activities of the JRC on behalf of third parties, with the exception of the principles of transparency and equal treatment."
