Head,Relation,Tail,Title,Article,Paragraph_Coreferenced,Sentence_Coreferenced,Article_Content
direct management,subclass of,grant,TITLE VIII GRANTS,Article 180  Scope and form of grants,this title applies to grants awarded under direct management.,this title applies to grants awarded under direct management,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
award,subclass of,grant,TITLE VIII GRANTS,Article 180  Scope and form of grants,this title applies to grants awarded under direct management.,this title applies to grants awarded under direct management,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
operating grant,subclass of,grant,TITLE VIII GRANTS,Article 180  Scope and form of grants,"grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a union policy (‘operating grants’). operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph.","grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a union policy (‘operating grants’)","This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
action grant,subclass of,grant,TITLE VIII GRANTS,Article 180  Scope and form of grants,"grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a union policy (‘operating grants’). operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph.","grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a union policy (‘operating grants’)","This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
financial contribution,subclass of,operating grant,TITLE VIII GRANTS,Article 180  Scope and form of grants,"grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a union policy (‘operating grants’). operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph.",operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
work grant,subclass of,operating grant,TITLE VIII GRANTS,Article 180  Scope and form of grants,"grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a union policy (‘operating grants’). operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph.",operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
contract,subclass of,grant,TITLE VIII GRANTS,Article 180  Scope and form of grants,each union institution may award public contracts or grants for communication activities. grants may be awarded where the use of procurement is not appropriate due to the nature of activities.,each union institution may award public contracts or grants for communication activities,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
union,field of work,communication,TITLE VIII GRANTS,Article 180  Scope and form of grants,each union institution may award public contracts or grants for communication activities. grants may be awarded where the use of procurement is not appropriate due to the nature of activities.,each union institution may award public contracts or grants for communication activities,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
procurement,subclass of,grant,TITLE VIII GRANTS,Article 180  Scope and form of grants,each union institution may award public contracts or grants for communication activities. grants may be awarded where the use of procurement is not appropriate due to the nature of activities.,grants may be awarded where the use of procurement is not appropriate due to the nature of activities,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
research technological development,subclass of,appropriation,TITLE VIII GRANTS,Article 180  Scope and form of grants,"the jrc may receive funding charged to appropriations other than research and technological development appropriations in respect of the jrc participation in grant award procedures financed in whole or in part from the budget. in such cases, article 198(4), as far as financial capacity is concerned, and points (a) to (d) of article 196(1) shall not apply.",the jrc may receive funding charged to appropriations other than research and technological development appropriations in respect of the jrc participation in grant award procedures financed in whole or in part from the budget,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
