Head,Relation,Tail,Title,Article,Paragraph_Coreferenced,Sentence_Coreferenced,Article_Content
budgetary guarantee,subclass of,financial instrument,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation,"where it proves to be the most appropriate way to achieve policy objectives of the union, the union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation.","where it proves to be the most appropriate way to achieve policy objectives of the union, the union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation","Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
financial assistance,subclass of,financial instrument,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation,"member states may contribute to the union’s financial instruments, budgetary guarantees or financial assistance. if authorised by the basic act, third parties may also contribute.","member states may contribute to the union’s financial instruments, budgetary guarantees or financial assistance","Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
budgetary guarantee,instance of,financial instrument,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation,"member states may contribute to the union’s financial instruments, budgetary guarantees or financial assistance. if authorised by the basic act, third parties may also contribute.","member states may contribute to the union’s financial instruments, budgetary guarantees or financial assistance","Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
basic act,has part,contribute,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation,"member states may contribute to the union’s financial instruments, budgetary guarantees or financial assistance. if authorised by the basic act, third parties may also contribute.","if authorised by the basic act, third parties may also contribute","Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
basic act,has part,party,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation,"member states may contribute to the union’s financial instruments, budgetary guarantees or financial assistance. if authorised by the basic act, third parties may also contribute.","if authorised by the basic act, third parties may also contribute","Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
financial instrument,part of,sectorspecific,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation,"where financial instruments are implemented under shared management with member states, sector-specific rules shall apply.","where financial instruments are implemented under shared management with member states, sector-specific rules shall apply","Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
financial instrument,part of,sectorspecific rule,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation,"where financial instruments are implemented under shared management with member states, sector-specific rules shall apply.","where financial instruments are implemented under shared management with member states, sector-specific rules shall apply","Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
system rule procedure,subclass of,procedure,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation,"where financial instruments or budgetary guarantees are implemented under indirect management, the commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of article 62(1). where the systems, rules and procedures of those entities have been assessed pursuant to article 154(4), those entities may fully rely on those systems, rules and procedures. those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the commission. those entities shall transpose the requirements pursuant to article 155(2) in agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the commission. the commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. the commission shall be accountable for the imple­mentation of financial instruments without prejudice to those entities’ legal and contractual responsibility in accordance with the applicable law and article 129. l 193/132   where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from third countries concerned.","where the systems, rules and procedures of those entities have been assessed pursuant to article 154(4), those entities may fully rely on those systems, rules and procedures","Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
article 1544,main subject,system rule procedure,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation,"where financial instruments or budgetary guarantees are implemented under indirect management, the commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of article 62(1). where the systems, rules and procedures of those entities have been assessed pursuant to article 154(4), those entities may fully rely on those systems, rules and procedures. those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the commission. those entities shall transpose the requirements pursuant to article 155(2) in agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the commission. the commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. the commission shall be accountable for the imple­mentation of financial instruments without prejudice to those entities’ legal and contractual responsibility in accordance with the applicable law and article 129. l 193/132   where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from third countries concerned.","where the systems, rules and procedures of those entities have been assessed pursuant to article 154(4), those entities may fully rely on those systems, rules and procedures","Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
indirect management,subclass of,financial intermediary,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation,"where financial instruments or budgetary guarantees are implemented under indirect management, the commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of article 62(1). where the systems, rules and procedures of those entities have been assessed pursuant to article 154(4), those entities may fully rely on those systems, rules and procedures. those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the commission. those entities shall transpose the requirements pursuant to article 155(2) in agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the commission. the commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. the commission shall be accountable for the imple­mentation of financial instruments without prejudice to those entities’ legal and contractual responsibility in accordance with the applicable law and article 129. l 193/132   where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from third countries concerned.","those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the commission","Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
