Head,Relation,Tail,Title,Article,Paragraph_Coreferenced,Sentence_Coreferenced,Article_Content
european political party,subclass of,political party,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 221  General provisions,"direct financial contributions from the budget may be awarded to european political parties as defined in point (3) of article 2 of regulation (eu, euratom) no 1141/2014 (‘european political parties’) in view of (‘european political parties’) in view of their contribution to forming european political awareness and to expressing the political will of the citizens of the union in accordance with that regulation contribution to forming european political awareness and to expressing the political will of the citizens of the union in accordance with that regulation.","direct financial contributions from the budget may be awarded to european political parties as defined in point (3) of article 2 of regulation (eu, euratom) no 1141/2014 (‘european political parties’) in view of (‘european political parties’) in view of their contribution to forming european political awareness and to expressing the political will of the citizens of the union in accordance with that regulation contribution to forming european political awareness and to expressing the political will of the citizens of the union in accordance with that regulation","Direct financial contributions from the budget may be awarded to European political parties as defined in point (3) of Article 2 of Regulation (EU, Euratom) No 1141/2014 (‘European political parties’) in view of their contribution to forming European political awareness and to expressing the political will of the citizens of the Union in accordance with that Regulation."
european political party,facet of,european political awareness,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 221  General provisions,"direct financial contributions from the budget may be awarded to european political parties as defined in point (3) of article 2 of regulation (eu, euratom) no 1141/2014 (‘european political parties’) in view of (‘european political parties’) in view of their contribution to forming european political awareness and to expressing the political will of the citizens of the union in accordance with that regulation contribution to forming european political awareness and to expressing the political will of the citizens of the union in accordance with that regulation.","direct financial contributions from the budget may be awarded to european political parties as defined in point (3) of article 2 of regulation (eu, euratom) no 1141/2014 (‘european political parties’) in view of (‘european political parties’) in view of their contribution to forming european political awareness and to expressing the political will of the citizens of the union in accordance with that regulation contribution to forming european political awareness and to expressing the political will of the citizens of the union in accordance with that regulation","Direct financial contributions from the budget may be awarded to European political parties as defined in point (3) of Article 2 of Regulation (EU, Euratom) No 1141/2014 (‘European political parties’) in view of their contribution to forming European political awareness and to expressing the political will of the citizens of the Union in accordance with that Regulation."
eu euratom   11412014   european political party   view   european political party   view contribution form european political awareness express political citizen union,main subject,eu euratom   11412014   european political party   view contribution form european political awareness express political citizen union,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 221  General provisions,"direct financial contributions from the budget may be awarded to european political parties as defined in point (3) of article 2 of regulation (eu, euratom) no 1141/2014 (‘european political parties’) in view of (‘european political parties’) in view of their contribution to forming european political awareness and to expressing the political will of the citizens of the union in accordance with that regulation contribution to forming european political awareness and to expressing the political will of the citizens of the union in accordance with that regulation.","direct financial contributions from the budget may be awarded to european political parties as defined in point (3) of article 2 of regulation (eu, euratom) no 1141/2014 (‘european political parties’) in view of (‘european political parties’) in view of their contribution to forming european political awareness and to expressing the political will of the citizens of the union in accordance with that regulation contribution to forming european political awareness and to expressing the political will of the citizens of the union in accordance with that regulation","Direct financial contributions from the budget may be awarded to European political parties as defined in point (3) of Article 2 of Regulation (EU, Euratom) No 1141/2014 (‘European political parties’) in view of their contribution to forming European political awareness and to expressing the political will of the citizens of the Union in accordance with that Regulation."
political party,country,european,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles,"contributions shall be used to reimburse only the percentage set out in article 17(4) of regulation (eu, euratom) no 1141/2014 of the operating costs of european political parties directly linked to objectives of those parties, as specified in article 17(5) of that regulation and article 21 of that regulation.","contributions shall be used to reimburse only the percentage set out in article 17(4) of regulation (eu, euratom) no 1141/2014 of the operating costs of european political parties directly linked to objectives of those parties, as specified in article 17(5) of that regulation and article 21 of that regulation","Contributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) No 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as specified in Article 17(5) of that Regulation and Article 21 of that Regulation. Contributions may be used to reimburse expenditure relating to contracts concluded by European political parties, provided that there were no conflicts of interests when they were awarded. Contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a European political party. Contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at European or national level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this paragraph, associated entities of European political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions shall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. Contributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria laid down in Regulation (EU, Euratom) No 1141/2014. Contributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance with Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. European political parties receiving a contribution shall not directly or indirectly receive other funding from the budget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no circumstances shall the same expenditure be financed twice by the budget. Contributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts from their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. If a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 realises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the part of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following year provided that it is used before the end of the first quarter of that following year."
political party,applies to jurisdiction,european,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles,"contributions shall be used to reimburse only the percentage set out in article 17(4) of regulation (eu, euratom) no 1141/2014 of the operating costs of european political parties directly linked to objectives of those parties, as specified in article 17(5) of that regulation and article 21 of that regulation.","contributions shall be used to reimburse only the percentage set out in article 17(4) of regulation (eu, euratom) no 1141/2014 of the operating costs of european political parties directly linked to objectives of those parties, as specified in article 17(5) of that regulation and article 21 of that regulation","Contributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) No 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as specified in Article 17(5) of that Regulation and Article 21 of that Regulation. Contributions may be used to reimburse expenditure relating to contracts concluded by European political parties, provided that there were no conflicts of interests when they were awarded. Contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a European political party. Contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at European or national level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this paragraph, associated entities of European political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions shall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. Contributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria laid down in Regulation (EU, Euratom) No 1141/2014. Contributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance with Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. European political parties receiving a contribution shall not directly or indirectly receive other funding from the budget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no circumstances shall the same expenditure be financed twice by the budget. Contributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts from their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. If a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 realises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the part of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following year provided that it is used before the end of the first quarter of that following year."
euratom,applies to jurisdiction,european,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles,"contributions shall be used to reimburse only the percentage set out in article 17(4) of regulation (eu, euratom) no 1141/2014 of the operating costs of european political parties directly linked to objectives of those parties, as specified in article 17(5) of that regulation and article 21 of that regulation.","contributions shall be used to reimburse only the percentage set out in article 17(4) of regulation (eu, euratom) no 1141/2014 of the operating costs of european political parties directly linked to objectives of those parties, as specified in article 17(5) of that regulation and article 21 of that regulation","Contributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) No 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as specified in Article 17(5) of that Regulation and Article 21 of that Regulation. Contributions may be used to reimburse expenditure relating to contracts concluded by European political parties, provided that there were no conflicts of interests when they were awarded. Contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a European political party. Contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at European or national level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this paragraph, associated entities of European political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions shall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. Contributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria laid down in Regulation (EU, Euratom) No 1141/2014. Contributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance with Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. European political parties receiving a contribution shall not directly or indirectly receive other funding from the budget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no circumstances shall the same expenditure be financed twice by the budget. Contributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts from their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. If a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 realises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the part of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following year provided that it is used before the end of the first quarter of that following year."
european,instance of,political party,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles,"contributions may be used to reimburse expenditure relating to contracts concluded by european political parties, provided that there were no conflicts of interests when no conflicts of interests were awarded.","contributions may be used to reimburse expenditure relating to contracts concluded by european political parties, provided that there were no conflicts of interests when no conflicts of interests were awarded","Contributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) No 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as specified in Article 17(5) of that Regulation and Article 21 of that Regulation. Contributions may be used to reimburse expenditure relating to contracts concluded by European political parties, provided that there were no conflicts of interests when they were awarded. Contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a European political party. Contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at European or national level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this paragraph, associated entities of European political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions shall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. Contributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria laid down in Regulation (EU, Euratom) No 1141/2014. Contributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance with Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. European political parties receiving a contribution shall not directly or indirectly receive other funding from the budget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no circumstances shall the same expenditure be financed twice by the budget. Contributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts from their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. If a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 realises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the part of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following year provided that it is used before the end of the first quarter of that following year."
european,subclass of,political party,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles,"contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a european political party. contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at european or national level, whether in the form of grants, donations, loans or any other similar agreements. for the purposes of this paragraph, associated entities of european political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of european political parties as set out in the statutes of the latter. contributions shall not be used for any of the purposes excluded by article 22 of regulation (eu, euratom) no 1141/2014.","contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a european political party","Contributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) No 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as specified in Article 17(5) of that Regulation and Article 21 of that Regulation. Contributions may be used to reimburse expenditure relating to contracts concluded by European political parties, provided that there were no conflicts of interests when they were awarded. Contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a European political party. Contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at European or national level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this paragraph, associated entities of European political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions shall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. Contributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria laid down in Regulation (EU, Euratom) No 1141/2014. Contributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance with Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. European political parties receiving a contribution shall not directly or indirectly receive other funding from the budget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no circumstances shall the same expenditure be financed twice by the budget. Contributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts from their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. If a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 realises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the part of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following year provided that it is used before the end of the first quarter of that following year."
european,is a list of,political party,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles,"contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a european political party. contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at european or national level, whether in the form of grants, donations, loans or any other similar agreements. for the purposes of this paragraph, associated entities of european political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of european political parties as set out in the statutes of the latter. contributions shall not be used for any of the purposes excluded by article 22 of regulation (eu, euratom) no 1141/2014.","contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a european political party","Contributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) No 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as specified in Article 17(5) of that Regulation and Article 21 of that Regulation. Contributions may be used to reimburse expenditure relating to contracts concluded by European political parties, provided that there were no conflicts of interests when they were awarded. Contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a European political party. Contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at European or national level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this paragraph, associated entities of European political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions shall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. Contributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria laid down in Regulation (EU, Euratom) No 1141/2014. Contributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance with Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. European political parties receiving a contribution shall not directly or indirectly receive other funding from the budget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no circumstances shall the same expenditure be financed twice by the budget. Contributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts from their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. If a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 realises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the part of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following year provided that it is used before the end of the first quarter of that following year."
european,has part,national level,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles,"contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a european political party. contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at european or national level, whether in the form of grants, donations, loans or any other similar agreements. for the purposes of this paragraph, associated entities of european political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of european political parties as set out in the statutes of the latter. contributions shall not be used for any of the purposes excluded by article 22 of regulation (eu, euratom) no 1141/2014.","contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at european or national level, whether in the form of grants, donations, loans or any other similar agreements","Contributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) No 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as specified in Article 17(5) of that Regulation and Article 21 of that Regulation. Contributions may be used to reimburse expenditure relating to contracts concluded by European political parties, provided that there were no conflicts of interests when they were awarded. Contributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any individual member or member of staff of a European political party. Contributions shall not be used to directly or indirectly finance activities of third parties, in particular national political parties or political foundations at European or national level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this paragraph, associated entities of European political parties shall not be regarded as third parties, where such entities are part of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions shall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. Contributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria laid down in Regulation (EU, Euratom) No 1141/2014. Contributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance with Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. European political parties receiving a contribution shall not directly or indirectly receive other funding from the budget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no circumstances shall the same expenditure be financed twice by the budget. Contributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts from their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. If a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 realises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the part of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following year provided that it is used before the end of the first quarter of that following year."
