Head,Relation,Tail,Title,Article,Paragraph_Coreferenced,Sentence_Coreferenced,Article_Content
1 january,followed by,31 december,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts,"the annual accounts of the union shall be prepared for each financial year which shall run from 1 january to 31 december. the annual accounts of the union shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in article 80, the consolidation of the financial information contained in the financial statements of union institutions, of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions.",the annual accounts of the union shall be prepared for each financial year which shall run from 1 january to 31 december,"The annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 December. Those accounts shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, the consolidation of the financial information contained in the financial statements of Union institutions, of Union bodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of Union institutions."
financial year,start time,1 january,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts,"the annual accounts of the union shall be prepared for each financial year which shall run from 1 january to 31 december. the annual accounts of the union shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in article 80, the consolidation of the financial information contained in the financial statements of union institutions, of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions.",the annual accounts of the union shall be prepared for each financial year which shall run from 1 january to 31 december,"The annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 December. Those accounts shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, the consolidation of the financial information contained in the financial statements of Union institutions, of Union bodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of Union institutions."
consolidated financial statement,subclass of,annual account,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts,"the annual accounts of the union shall be prepared for each financial year which shall run from 1 january to 31 december. the annual accounts of the union shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in article 80, the consolidation of the financial information contained in the financial statements of union institutions, of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions.","the annual accounts of the union shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in article 80, the consolidation of the financial information contained in the financial statements of union institutions, of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions","The annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 December. Those accounts shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, the consolidation of the financial information contained in the financial statements of Union institutions, of Union bodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of Union institutions."
consolidated financial statement,subclass of,financial statement,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts,"the annual accounts of the union shall be prepared for each financial year which shall run from 1 january to 31 december. the annual accounts of the union shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in article 80, the consolidation of the financial information contained in the financial statements of union institutions, of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions.","the annual accounts of the union shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in article 80, the consolidation of the financial information contained in the financial statements of union institutions, of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions","The annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 December. Those accounts shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, the consolidation of the financial information contained in the financial statements of Union institutions, of Union bodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of Union institutions."
financial statement,subclass of,annual account,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts,"the annual accounts of the union shall be prepared for each financial year which shall run from 1 january to 31 december. the annual accounts of the union shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in article 80, the consolidation of the financial information contained in the financial statements of union institutions, of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions.","the annual accounts of the union shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in article 80, the consolidation of the financial information contained in the financial statements of union institutions, of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions","The annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 December. Those accounts shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, the consolidation of the financial information contained in the financial statements of Union institutions, of Union bodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of Union institutions."
article 75,main subject,support document,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 242  Supporting documents,each entry in the accounts shall be based on appropriate supporting documents in accordance with article 75.,each entry in the accounts shall be based on appropriate supporting documents in accordance with article 75,Each entry in the accounts shall be based on appropriate supporting documents in accordance with Article 75.
support document,part of,account,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 242  Supporting documents,each entry in the accounts shall be based on appropriate supporting documents in accordance with article 75.,each entry in the accounts shall be based on appropriate supporting documents in accordance with article 75,Each entry in the accounts shall be based on appropriate supporting documents in accordance with Article 75.
support document,part of,article,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 242  Supporting documents,each entry in the accounts shall be based on appropriate supporting documents in accordance with article 75.,each entry in the accounts shall be based on appropriate supporting documents in accordance with article 75,Each entry in the accounts shall be based on appropriate supporting documents in accordance with Article 75.
balance sheet,subclass of,financial statement,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements,"the financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 december of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the preceding financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. l 193/146","the financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 december of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the preceding financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results","The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
cashflow statement,subclass of,financial statement,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements,"the financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 december of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the preceding financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. l 193/146","the financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 december of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the preceding financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results","The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
