Head,Relation,Tail,Title,Article,Paragraph_Coreferenced,Sentence_Coreferenced,Article_Content
nondifferentiate appropriation,subclass of,appropriation,TITLE XV ADMINISTRATIVE APPROPRIATIONS,Article 264  General provisions,administrative appropriations shall be non-differentiated appropriations.,administrative appropriations shall be non-differentiated appropriations,"Administrative appropriations shall be non-differentiated appropriations. This Title applies to the administrative appropriations referred to in in Article 47(4) and to those of Union institutions other than the Commission. Budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in Article 47(4). The corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations. Administrative expenditure arising from contracts covering periods that extend beyond the financial year, either in accordance with local practice or relating to the supply of equipment, shall be charged to the budget for the financial year in which it is effected. Advances may be paid, in accordance with the conditions laid down in the Staff Regulations and in the specific provisions concerning members of Union institutions, to staff and to members of Union institutions."
nondifferentiate,subclass of,appropriation,TITLE XV ADMINISTRATIVE APPROPRIATIONS,Article 264  General provisions,administrative appropriations shall be non-differentiated appropriations.,administrative appropriations shall be non-differentiated appropriations,"Administrative appropriations shall be non-differentiated appropriations. This Title applies to the administrative appropriations referred to in in Article 47(4) and to those of Union institutions other than the Commission. Budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in Article 47(4). The corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations. Administrative expenditure arising from contracts covering periods that extend beyond the financial year, either in accordance with local practice or relating to the supply of equipment, shall be charged to the budget for the financial year in which it is effected. Advances may be paid, in accordance with the conditions laid down in the Staff Regulations and in the specific provisions concerning members of Union institutions, to staff and to members of Union institutions."
commission,part of,union,TITLE XV ADMINISTRATIVE APPROPRIATIONS,Article 264  General provisions,this title applies to the administrative appropriations referred to in in article 47(4) and to those of union institutions other than the commission. budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in article 47(4). the corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations.,this title applies to the administrative appropriations referred to in in article 47(4) and to those of union institutions other than the commission,"Administrative appropriations shall be non-differentiated appropriations. This Title applies to the administrative appropriations referred to in in Article 47(4) and to those of Union institutions other than the Commission. Budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in Article 47(4). The corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations. Administrative expenditure arising from contracts covering periods that extend beyond the financial year, either in accordance with local practice or relating to the supply of equipment, shall be charged to the budget for the financial year in which it is effected. Advances may be paid, in accordance with the conditions laid down in the Staff Regulations and in the specific provisions concerning members of Union institutions, to staff and to members of Union institutions."
commission,part of,union institution,TITLE XV ADMINISTRATIVE APPROPRIATIONS,Article 264  General provisions,this title applies to the administrative appropriations referred to in in article 47(4) and to those of union institutions other than the commission. budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in article 47(4). the corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations.,this title applies to the administrative appropriations referred to in in article 47(4) and to those of union institutions other than the commission,"Administrative appropriations shall be non-differentiated appropriations. This Title applies to the administrative appropriations referred to in in Article 47(4) and to those of Union institutions other than the Commission. Budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in Article 47(4). The corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations. Administrative expenditure arising from contracts covering periods that extend beyond the financial year, either in accordance with local practice or relating to the supply of equipment, shall be charged to the budget for the financial year in which it is effected. Advances may be paid, in accordance with the conditions laid down in the Staff Regulations and in the specific provisions concerning members of Union institutions, to staff and to members of Union institutions."
administrative appropriation,part of,budgetary accounting,TITLE XV ADMINISTRATIVE APPROPRIATIONS,Article 264  General provisions,this title applies to the administrative appropriations referred to in in article 47(4) and to those of union institutions other than the commission. budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in article 47(4). the corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations.,budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in article 47(4),"Administrative appropriations shall be non-differentiated appropriations. This Title applies to the administrative appropriations referred to in in Article 47(4) and to those of Union institutions other than the Commission. Budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in Article 47(4). The corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations. Administrative expenditure arising from contracts covering periods that extend beyond the financial year, either in accordance with local practice or relating to the supply of equipment, shall be charged to the budget for the financial year in which it is effected. Advances may be paid, in accordance with the conditions laid down in the Staff Regulations and in the specific provisions concerning members of Union institutions, to staff and to members of Union institutions."
administrative appropriation,facet of,budgetary accounting,TITLE XV ADMINISTRATIVE APPROPRIATIONS,Article 264  General provisions,this title applies to the administrative appropriations referred to in in article 47(4) and to those of union institutions other than the commission. budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in article 47(4). the corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations.,budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in article 47(4),"Administrative appropriations shall be non-differentiated appropriations. This Title applies to the administrative appropriations referred to in in Article 47(4) and to those of Union institutions other than the Commission. Budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in Article 47(4). The corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations. Administrative expenditure arising from contracts covering periods that extend beyond the financial year, either in accordance with local practice or relating to the supply of equipment, shall be charged to the budget for the financial year in which it is effected. Advances may be paid, in accordance with the conditions laid down in the Staff Regulations and in the specific provisions concerning members of Union institutions, to staff and to members of Union institutions."
budgetary commitment,facet of,budgetary accounting,TITLE XV ADMINISTRATIVE APPROPRIATIONS,Article 264  General provisions,this title applies to the administrative appropriations referred to in in article 47(4) and to those of union institutions other than the commission. budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in article 47(4). the corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations.,budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in article 47(4),"Administrative appropriations shall be non-differentiated appropriations. This Title applies to the administrative appropriations referred to in in Article 47(4) and to those of Union institutions other than the Commission. Budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in Article 47(4). The corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations. Administrative expenditure arising from contracts covering periods that extend beyond the financial year, either in accordance with local practice or relating to the supply of equipment, shall be charged to the budget for the financial year in which it is effected. Advances may be paid, in accordance with the conditions laid down in the Staff Regulations and in the specific provisions concerning members of Union institutions, to staff and to members of Union institutions."
appropriation,part of,budget,TITLE XV ADMINISTRATIVE APPROPRIATIONS,Article 264  General provisions,this title applies to the administrative appropriations referred to in in article 47(4) and to those of union institutions other than the commission. budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in article 47(4). the corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations.,the corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations,"Administrative appropriations shall be non-differentiated appropriations. This Title applies to the administrative appropriations referred to in in Article 47(4) and to those of Union institutions other than the Commission. Budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in Article 47(4). The corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations. Administrative expenditure arising from contracts covering periods that extend beyond the financial year, either in accordance with local practice or relating to the supply of equipment, shall be charged to the budget for the financial year in which it is effected. Advances may be paid, in accordance with the conditions laid down in the Staff Regulations and in the specific provisions concerning members of Union institutions, to staff and to members of Union institutions."
appropriation,part of,budget line,TITLE XV ADMINISTRATIVE APPROPRIATIONS,Article 264  General provisions,this title applies to the administrative appropriations referred to in in article 47(4) and to those of union institutions other than the commission. budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in article 47(4). the corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations.,the corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations,"Administrative appropriations shall be non-differentiated appropriations. This Title applies to the administrative appropriations referred to in in Article 47(4) and to those of Union institutions other than the Commission. Budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in Article 47(4). The corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations. Administrative expenditure arising from contracts covering periods that extend beyond the financial year, either in accordance with local practice or relating to the supply of equipment, shall be charged to the budget for the financial year in which it is effected. Advances may be paid, in accordance with the conditions laid down in the Staff Regulations and in the specific provisions concerning members of Union institutions, to staff and to members of Union institutions."
budget,subclass of,administrative expenditure,TITLE XV ADMINISTRATIVE APPROPRIATIONS,Article 264  General provisions,"administrative expenditure arising from contracts covering periods that extend beyond the financial year, either in accordance with local practice or relating to the supply of equipment, shall be charged to the budget for the financial year in which it is effected.","administrative expenditure arising from contracts covering periods that extend beyond the financial year, either in accordance with local practice or relating to the supply of equipment, shall be charged to the budget for the financial year in which it is effected","Administrative appropriations shall be non-differentiated appropriations. This Title applies to the administrative appropriations referred to in in Article 47(4) and to those of Union institutions other than the Commission. Budgetary commitments corresponding to administrative appropriations of a type common to several titles and which are managed globally may be recorded globally in the budgetary accounting following the summary classification by type as set out in Article 47(4). The corresponding expenditure shall be booked to the budget lines of each title according to the same distribution as for appropriations. Administrative expenditure arising from contracts covering periods that extend beyond the financial year, either in accordance with local practice or relating to the supply of equipment, shall be charged to the budget for the financial year in which it is effected. Advances may be paid, in accordance with the conditions laid down in the Staff Regulations and in the specific provisions concerning members of Union institutions, to staff and to members of Union institutions."
